Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
0	-23197.09	-23164.78	-32.3115	0.0323007	0.0673043	0.0200489	0.0175817	0.045155	0.0240237	0.182227	0.16403	0.0549459	0.177566	0.18413	0.187968	0.0117329	0.167011	0.0248257	0.095815	0.159295	0.102496	0.0656267	0.056699	0.0455289	0.0153674	0.0271742	0.209684	0.0663218	0.0830232	0.0794871	0.0452869	0.00663713	0.0232557	0.220426	0.0687517	0.0748164	0.0600767	0.0419542	0.076656	0.039725	0.00832008	0.0585162	0.7800301	0.259215	0.166206	0.126371	0.0605077	0.0163384	0.371363	0.004245804	0.212494	0.400029	0.0981177	0.289359	-2.838452	29.4638	0.1983789
50	-20341.12	-20343.27	2.154965	0.0242487	0.0290908	0.0253553	0.0319385	0.0290909	0.033637	0.0936231	0.101411	0.0511448	0.0583717	0.0563221	0.0815237	0.0665967	0.0395607	0.0413069	0.0282695	0.0429761	0.0686463	0.0709297	0.0392399	0.0794147	0.0289663	0.0192428	0.130879	0.0166493	0.0340218	0.0379276	0.0706197	0.0223293	0.0327665	0.0989904	0.0312437	0.0247563	0.112963	0.0309115	0.0372849	0.0331812	0.00486908	0.04561479	0.6491378	0.171629	0.183315	0.173833	0.162336	0.124734	0.184153	0.01293861	0.255893	0.281212	0.214047	0.248848	-3.087523	28.59253	0.09018787
100	-20320.1	-20329.5	9.393463	0.019471	0.0183583	0.0360783	0.0276385	0.0256112	0.0253092	0.0892867	0.102461	0.0636378	0.067623	0.0603502	0.0547991	0.0636291	0.0358552	0.0488554	0.0242428	0.0578208	0.0521438	0.0535291	0.0462083	0.0730835	0.0377849	0.0189617	0.0517555	0.0215804	0.0229368	0.0464935	0.0445396	0.0672243	0.0247172	0.0776309	0.0250996	0.0170072	0.0603847	0.0283873	0.0258483	0.0362174	0.0125053	0.03827341	0.4437692	0.170461	0.182762	0.140409	0.209773	0.12403	0.172565	0.02695869	0.254722	0.230665	0.234056	0.280557	-3.263	31.25357	0.09716774
150	-20310.17	-20323.45	13.27784	0.0172243	0.0376444	0.0413074	0.0265878	0.027451	0.0188462	0.0962006	0.0501187	0.0373243	0.0790497	0.0612633	0.0544467	0.0473576	0.0248847	0.0310222	0.0306472	0.049564	0.0425742	0.0612228	0.0381042	0.0965658	0.0297528	0.0220239	0.0552222	0.027421	0.0472151	0.0309155	0.0458541	0.0396897	0.0240206	0.0769549	0.0319278	0.023715	0.0226389	0.0311994	0.0222414	0.0234341	0.0150596	0.03445534	0.441079	0.164803	0.169903	0.138977	0.201403	0.155328	0.169586	0.05586326	0.262604	0.23768	0.234711	0.265005	-3.368091	27.13688	0.1430917
200	-20291.63	-20314.01	22.37955	0.0183104	0.0325007	0.0366207	0.0389914	0.0381573	0.0215176	0.0783406	0.0595314	0.04548	0.0754923	0.0599401	0.0437858	0.0475659	0.0268576	0.0279762	0.0299565	0.0490822	0.0512808	0.0547342	0.039274	0.0749325	0.0360585	0.0254213	0.0357351	0.0641479	0.0320732	0.0197787	0.0436896	0.0292336	0.0279646	0.0216244	0.0424252	0.0251266	0.0276788	0.0431356	0.0251894	0.0187835	0.0275839	0.03635772	0.3320621	0.164238	0.177202	0.140872	0.20415	0.157446	0.156093	0.009909093	0.264523	0.235564	0.227218	0.272695	-3.314349	26.38939	0.06430453
250	-20287.76	-20317.92	30.15952	0.0232079	0.0367013	0.0407903	0.0336225	0.0327804	0.0281699	0.068407	0.0449604	0.0352137	0.0571372	0.0658657	0.054685	0.0370337	0.024513	0.029865	0.0353122	0.0374383	0.0693026	0.059273	0.0450482	0.0570422	0.0461685	0.0373229	0.0198074	0.0552134	0.0367481	0.023762	0.0345701	0.0604777	0.0345502	0.0290665	0.0347616	0.0288367	0.0449612	0.0333247	0.0359127	0.0369121	0.0312225	0.04015257	0.3390865	0.159629	0.179162	0.136919	0.205749	0.150245	0.168295	0.002738052	0.270071	0.240514	0.229523	0.259892	-3.215069	23.74369	0.0688704
300	-20294.16	-20315.39	21.2262	0.0316065	0.0341316	0.0425016	0.0497864	0.0394797	0.0345301	0.0746661	0.0814085	0.0404119	0.0766164	0.0688208	0.0480665	0.0404423	0.0259458	0.0301247	0.0227003	0.0207572	0.0295146	0.0369241	0.0386552	0.0646186	0.0528977	0.020685	0.0632701	0.0478097	0.0286002	0.0304859	0.0391424	0.0230357	0.0238797	0.0266225	0.0478429	0.0266468	0.0438603	0.0544972	0.0410804	0.0524081	0.0202649	0.04164194	0.3918044	0.172206	0.166862	0.147707	0.195858	0.144411	0.172955	0.006702136	0.259681	0.233777	0.237557	0.268985	-3.178648	23.73467	0.1160285
350	-20283.95	-20314.43	30.48185	0.0291374	0.0428883	0.0468005	0.0394851	0.0316221	0.0350462	0.0671324	0.053189	0.0450904	0.0563343	0.0471573	0.029997	0.0317305	0.0236923	0.0289643	0.0245542	0.0235556	0.0407669	0.0361201	0.0313203	0.051896	0.0322978	0.0366257	0.0295817	0.0248912	0.0235996	0.0285761	0.0792444	0.0438349	0.0216955	0.0350884	0.0415338	0.0341136	0.0406209	0.0416983	0.035443	0.0534895	0.0312219	0.03673312	0.3411074	0.176957	0.178139	0.147151	0.195121	0.142761	0.159871	0.003620432	0.266015	0.237709	0.228871	0.267405	-3.304077	23.0498	0.1400493
400	-20292.25	-20319.52	27.27159	0.0331812	0.041581	0.0449816	0.042124	0.0363033	0.0305307	0.0565142	0.0463872	0.0480373	0.0704302	0.0923197	0.0211719	0.0264638	0.0209351	0.0313819	0.0337867	0.0319063	0.0388263	0.0382055	0.0258791	0.040351	0.0361464	0.0297904	0.0400342	0.0350386	0.0631027	0.0362344	0.0362045	0.0355203	0.0347318	0.0255975	0.0376968	0.0403584	0.0429258	0.0733583	0.0347517	0.0564279	0.0293213	0.03620268	0.3481264	0.163505	0.193005	0.147769	0.189308	0.140299	0.166114	0.02046424	0.262613	0.239551	0.233558	0.264278	-3.318622	21.7901	0.07808465
450	-20267.52	-20310.64	43.12309	0.0267983	0.0346338	0.042947	0.0363039	0.0391741	0.0375626	0.0379344	0.0291531	0.0441403	0.0672374	0.0531729	0.0202068	0.0279041	0.0261502	0.0299081	0.0271235	0.0237966	0.0307682	0.0421468	0.0270346	0.040808	0.0334808	0.0344432	0.0340891	0.0285051	0.0332103	0.0252782	0.0334046	0.038924	0.0446262	0.0326706	0.0369267	0.0209033	0.0479404	0.0378212	0.0302097	0.0297519	0.0363623	0.03390836	0.2919802	0.175381	0.170175	0.148172	0.189751	0.144928	0.171594	0.004618505	0.260067	0.246924	0.231294	0.261715	-3.384094	23.42001	0.08782191
