Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
0	-22969.26	-23246.97	277.712	0.0782188	0.0782045	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782303	0.0781949	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.078211	0.0781952	0.0782072	0.0781701	0.0782199	0.0782102	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0001718298	0.0850609	0.112224	0.163891	0.157085	0.210352	0.271387	0.1509807	0.160513	0.0879417	0.307671	0.443874	-2.548344	29.4638	0.224208
50	-20015.91	-20291.2	275.2853	0.0782188	0.0782045	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782303	0.0781949	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782199	0.0782102	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0001960326	0.173404	0.146835	0.163309	0.197216	0.164601	0.154635	0.03355371	0.274538	0.240071	0.229314	0.256077	-2.548344	9.35283	0.1923638
100	-19997.71	-20272.84	275.1342	0.0782188	0.0782045	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782303	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782102	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0001816789	0.169859	0.158026	0.149505	0.166834	0.173955	0.18182	0.006463624	0.262372	0.238747	0.244035	0.254847	-2.548344	9.51748	0.2163678
150	-19994.52	-20269.82	275.2953	0.0782188	0.0782045	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782303	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782102	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0002036137	0.180455	0.142282	0.147972	0.182291	0.169665	0.177336	0.01095626	0.26066	0.237189	0.248968	0.253184	-2.548344	8.900125	0.1963215
200	-19996.64	-20270.02	273.3827	0.0782188	0.0782045	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782303	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0002110934	0.177945	0.158224	0.153649	0.166119	0.169193	0.174869	0.04463389	0.258562	0.237862	0.249675	0.253902	-2.548344	8.525523	0.2030778
250	-20009.93	-20282.7	272.7724	0.0782188	0.0782364	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782256	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0782126	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0781964	0.0782014	0.0781992	0.078221	0.0782236	0.0782038	0.0782413	0.0781934	0.0782087	0.07821109	0.0002427772	0.18827	0.156301	0.150821	0.162058	0.162381	0.18017	0.001435304	0.245004	0.246781	0.263474	0.244741	-2.548344	8.45629	0.1368699
300	-19999.47	-20271.76	272.2903	0.0782188	0.0782364	0.0782111	0.0782033	0.0781924	0.078225	0.0781785	0.0781965	0.0782256	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0781862	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0781964	0.0782014	0.0781992	0.0782114	0.0782236	0.0782038	0.0782413	0.0781744	0.0782087	0.07821109	0.000209273	0.187701	0.155829	0.157641	0.153714	0.16189	0.183224	0.0007298441	0.247518	0.245959	0.262596	0.243926	-2.548344	9.361616	0.2156452
350	-19998.19	-20270.94	272.7549	0.0782188	0.0782364	0.0782111	0.0782033	0.0781924	0.0782349	0.0782221	0.0781965	0.0782256	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0781862	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0781964	0.0782014	0.0781992	0.0782012	0.0782236	0.0782038	0.0782413	0.0781744	0.0782087	0.07821109	0.0001934301	0.172414	0.159143	0.158741	0.157249	0.165332	0.18712	0.0003696521	0.25706	0.248289	0.246582	0.248069	-2.548344	9.310319	0.2164416
400	-19992.69	-20264.8	272.1155	0.0782188	0.0782364	0.0782111	0.0782033	0.0781924	0.0782349	0.0782221	0.0781965	0.0782256	0.0781943	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0781862	0.0781704	0.0782166	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0781964	0.0782014	0.0781992	0.0782012	0.0782236	0.0782038	0.0782413	0.0781744	0.0782087	0.07821109	0.0001973598	0.176121	0.163671	0.163258	0.161724	0.170757	0.164469	0.0001781018	0.243842	0.252837	0.250392	0.252929	-2.548344	8.95527	0.1328349
450	-20000.43	-20269.48	269.0529	0.0782188	0.0782364	0.07825	0.0782033	0.0781924	0.0782349	0.0782221	0.0781965	0.0782256	0.078192	0.0782067	0.0782146	0.0782115	0.0782117	0.0782174	0.0782194	0.0782013	0.0782434	0.0782033	0.0782027	0.0781862	0.0781704	0.0782328	0.0781952	0.0782232	0.0781701	0.0782207	0.0782054	0.0782069	0.0782455	0.0782014	0.0781992	0.0782012	0.0782236	0.0782038	0.0782413	0.0781744	0.0782087	0.07821109	0.0002504074	0.175456	0.168377	0.144862	0.166374	0.168642	0.176289	0.0001039178	0.243293	0.252268	0.244777	0.259662	-2.548344	9.371765	0.1478044
