Iteration	Posterior	Likelihood	Prior	branch_rates	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	root_age	speciation_rate
0	-17301.26	-17202.89	-98.36903	0.07458102	0.215161	0.0365033	0.253012	0.222885	0.088521	0.183918	0.1629222	0.216037	0.337373	0.113887	0.332704	29.4638	0.07444196
50	-13956.38	-13853.38	-102.9961	0.07458102	0.160248	0.14635	0.211735	0.155896	0.147715	0.178056	0.007078556	0.257227	0.241998	0.246625	0.25415	37.06051	0.03508273
100	-13970.42	-13863.01	-107.4052	0.07458102	0.176892	0.0251524	0.24188	0.267013	0.0885946	0.200469	0.0004793304	0.250902	0.246922	0.242625	0.259551	38.92359	0.04853927
150	-13955.74	-13853.43	-102.306	0.07458102	0.157338	0.0550532	0.255949	0.157582	0.094542	0.279535	0.004999679	0.247425	0.2435	0.25312	0.255954	37.03857	0.02780367
200	-13953.9	-13853.37	-100.5231	0.07458102	0.100588	0.132706	0.238517	0.228042	0.138375	0.161773	0.001735794	0.245888	0.252846	0.245749	0.255517	34.95778	0.04986857
250	-13953.61	-13851.8	-101.8093	0.07458102	0.226839	0.123369	0.210888	0.12807	0.14807	0.162763	0.002333733	0.247569	0.25301	0.239323	0.260098	37.60542	0.0316621
300	-13949.82	-13852.21	-97.60635	0.07458102	0.172821	0.1355	0.240103	0.156847	0.157667	0.137061	0.002585809	0.242361	0.252061	0.246455	0.259123	33.09537	0.03097789
350	-13955.37	-13855.16	-100.2057	0.07458102	0.182519	0.150038	0.20567	0.181448	0.129831	0.150494	0.00912868	0.242361	0.252061	0.246455	0.259123	34.66764	0.03106754
400	-13955.66	-13853.28	-102.3841	0.07458102	0.120701	0.123018	0.24254	0.13219	0.196398	0.185154	0.007567645	0.245632	0.248306	0.25298	0.253082	35.96285	0.02916819
450	-13959.29	-13857.35	-101.9408	0.07458102	0.21899	0.146181	0.195193	0.198859	0.120969	0.119809	0.01329563	0.242246	0.245075	0.246305	0.266374	35.66658	0.04033077
500	-13953.89	-13854.22	-99.67285	0.07458102	0.135685	0.142171	0.179865	0.199249	0.217764	0.125266	0.007934271	0.253329	0.245297	0.240873	0.2605	34.01671	0.04271308
550	-13952.18	-13850.83	-101.3583	0.07458102	0.127544	0.162226	0.260346	0.157635	0.160442	0.131807	0.002295227	0.246492	0.247595	0.245794	0.26012	36.53873	0.04255153
600	-13953.93	-13854.68	-99.2505	0.07458102	0.208683	0.180205	0.200249	0.135087	0.121716	0.15406	0.005102687	0.247445	0.244043	0.252124	0.256388	34.05513	0.03732384
650	-13958.51	-13856.75	-101.7601	0.07458102	0.132244	0.184282	0.195219	0.200744	0.130184	0.157327	0.0005720801	0.24958	0.245395	0.246426	0.258599	36.9821	0.05000795
700	-13957.78	-13859.49	-98.29013	0.07458102	0.127342	0.167981	0.31434	0.126663	0.145509	0.118164	0.0006595386	0.241973	0.259969	0.243026	0.255032	33.43137	0.03386392
750	-13953.74	-13855.37	-98.36437	0.07458102	0.137566	0.231808	0.161693	0.157112	0.158286	0.153535	0.001613985	0.251746	0.240476	0.245349	0.262429	34.92892	0.04098716
800	-13957.57	-13859.4	-98.16363	0.07458102	0.151395	0.202876	0.182712	0.143122	0.185803	0.134093	0.0006442277	0.253015	0.238582	0.246444	0.261959	34.56562	0.03077139
850	-13957.78	-13856.05	-101.7309	0.07458102	0.194625	0.171888	0.193416	0.164888	0.140758	0.134425	0.009891339	0.25524	0.243242	0.246101	0.255417	36.95423	0.03788221
900	-13953.44	-13854.94	-98.49339	0.07458102	0.12484	0.133549	0.260361	0.173489	0.170384	0.137378	0.007838902	0.25214	0.252142	0.243402	0.252316	32.49753	0.04549924
950	-13952.56	-13855.01	-97.54699	0.07458102	0.125276	0.1509	0.213934	0.180932	0.146718	0.182241	0.003960978	0.246304	0.250294	0.247175	0.256227	34.12102	0.03929577
1000	-13954.75	-13853.89	-100.8505	0.07458102	0.189486	0.115592	0.157332	0.231973	0.145416	0.1602	0.00328235	0.246043	0.251087	0.246914	0.255956	36.49094	0.03317392
1050	-13953.02	-13852.82	-100.2033	0.07458102	0.154071	0.148835	0.226574	0.155885	0.163841	0.150795	0.007142291	0.246051	0.24669	0.249921	0.257338	36.21207	0.05675162
1100	-13954.17	-13854.95	-99.22314	0.07458102	0.137599	0.165661	0.200551	0.196491	0.150189	0.14951	0.0148452	0.24541	0.248653	0.24927	0.256668	31.4998	0.04254216
1150	-13954.49	-13856.33	-98.15882	0.07458102	0.119909	0.188211	0.159325	0.157544	0.159776	0.215236	0.005182195	0.24792	0.248697	0.247709	0.255675	34.02044	0.03154242
1200	-13968.82	-13859.83	-108.9828	0.07458102	0.193065	0.118624	0.218163	0.143497	0.159867	0.166784	0.03772312	0.24792	0.248697	0.247709	0.255675	38.75223	0.0510816
1250	-13956	-13857.43	-98.57295	0.07458102	0.183246	0.148996	0.149796	0.106903	0.17904	0.232019	0.01324074	0.23688	0.251152	0.254024	0.257944	32.16291	0.04239101
1300	-13966.93	-13867.27	-99.66197	0.07458102	0.124314	0.188899	0.204735	0.241498	0.0721424	0.168411	0.0005267021	0.242688	0.26386	0.24209	0.251362	34.23979	0.02447933
1350	-13961.43	-13858.07	-103.3575	0.07458102	0.195008	0.121198	0.270997	0.195943	0.0813122	0.135541	0.002684057	0.249173	0.257873	0.247296	0.245659	38.18433	0.0299635
1400	-13958.77	-13859.43	-99.33839	0.07458102	0.179945	0.115446	0.256751	0.189367	0.10347	0.155021	0.007687216	0.25596	0.237657	0.254032	0.25235	34.02232	0.04551292
1450	-13955.42	-13856.74	-98.68023	0.07458102	0.170837	0.133983	0.237777	0.184236	0.0901533	0.183014	0.009105706	0.246821	0.246942	0.256295	0.249943	33.43405	0.05107784
1500	-13962.2	-13855.28	-106.9221	0.07458102	0.209177	0.250508	0.214691	0.0667542	0.131489	0.127381	0.02277873	0.243714	0.24777	0.248039	0.260477	38.65527	0.04684827
1550	-13957.79	-13853.04	-104.7508	0.07458102	0.141624	0.162935	0.15294	0.197842	0.199319	0.14534	0.01678881	0.252099	0.244041	0.244922	0.258939	37.46917	0.03767203
1600	-13953.88	-13852.31	-101.5638	0.07458102	0.202837	0.169992	0.154027	0.171764	0.124761	0.17662	0.01960002	0.241304	0.247753	0.248065	0.262878	34.44355	0.03686232
1650	-13953.95	-13852.52	-101.4298	0.07458102	0.15182	0.109487	0.177156	0.172578	0.193064	0.195894	0.00841605	0.241867	0.246	0.248643	0.26349	37.27585	0.03479059
1700	-13959.82	-13860.63	-99.19205	0.07458102	0.234468	0.0904723	0.271806	0.123175	0.0895205	0.190558	0.000618409	0.254411	0.243617	0.241034	0.260938	32.42718	0.02729408
1750	-13963.85	-13858.12	-105.7291	0.07458102	0.157464	0.0422895	0.35268	0.152536	0.103808	0.191223	0.004629409	0.247172	0.259505	0.239653	0.253671	37.17822	0.05554365
1800	-13955.85	-13857.63	-98.22983	0.07458102	0.155783	0.184153	0.208119	0.166994	0.147097	0.137855	0.007190933	0.238515	0.254579	0.259636	0.24727	32.85835	0.03683902
1850	-13955.7	-13856.21	-99.48553	0.07458102	0.136887	0.169852	0.248184	0.160469	0.132712	0.151896	0.009359284	0.244263	0.257629	0.247877	0.250231	34.0748	0.03657131
1900	-13953.59	-13851.33	-102.254	0.07458102	0.152944	0.18521	0.185777	0.146825	0.189736	0.139507	0.01007689	0.24338	0.243786	0.255498	0.257337	37.50329	0.03833828
1950	-13956.34	-13857.49	-98.84409	0.07458102	0.177177	0.164777	0.146218	0.125022	0.166884	0.219922	0.007356367	0.24338	0.243786	0.255498	0.257337	34.71907	0.03304047
2000	-13960.87	-13857.89	-102.9751	0.07458102	0.239597	0.16195	0.158571	0.164754	0.142607	0.132521	0.01122685	0.238182	0.251295	0.254346	0.256177	36.26404	0.02834379
2050	-13951.77	-13852.83	-98.93723	0.07458102	0.187724	0.159782	0.205017	0.150597	0.134201	0.162679	0.0003767189	0.237008	0.250056	0.255962	0.256973	34.04981	0.02898859
2100	-13959.69	-13858.53	-101.1569	0.07458102	0.142257	0.173193	0.189707	0.18524	0.212207	0.0973953	0.001541797	0.245604	0.251894	0.252986	0.249516	34.5527	0.05308293
2150	-13953.02	-13855.02	-97.99832	0.07458102	0.134695	0.148033	0.233026	0.176998	0.17094	0.136307	0.001815063	0.254744	0.247658	0.248731	0.248867	33.19767	0.03103625
2200	-13960.44	-13861.21	-99.22809	0.07458102	0.20308	0.193098	0.152609	0.100562	0.147444	0.203207	0.005035891	0.252741	0.246269	0.247336	0.253654	34.53899	0.04659765
2250	-13958.79	-13857.22	-101.5706	0.07458102	0.232684	0.113832	0.179313	0.219305	0.0981736	0.156692	0.0206377	0.252502	0.246036	0.248828	0.252635	35.78369	0.04020551
2300	-13950.91	-13852.24	-98.66666	0.07458102	0.123211	0.14822	0.195738	0.192011	0.15347	0.187349	0.003697582	0.241532	0.24991	0.249519	0.259039	31.76988	0.02428557
2350	-13956.63	-13855.55	-101.0846	0.07458102	0.179909	0.144696	0.197654	0.168244	0.167798	0.141701	0.003898642	0.247314	0.249068	0.24545	0.258167	36.5198	0.04256359
2400	-13960.74	-13854.46	-106.2734	0.07458102	0.105217	0.171725	0.263745	0.166572	0.173262	0.119478	0.003675008	0.24678	0.24853	0.244608	0.260082	40.19294	0.03290159
2450	-13959.67	-13853.56	-106.1052	0.07458102	0.12131	0.128052	0.189898	0.144135	0.210561	0.206045	0.01443185	0.243336	0.257251	0.243459	0.255954	37.2656	0.06626667
2500	-13958.09	-13852.55	-105.535	0.07458102	0.167524	0.19602	0.20699	0.143794	0.149452	0.136222	0.008192643	0.25539	0.248275	0.242214	0.254121	36.61646	0.01898666
2550	-13954.45	-13857.91	-96.53867	0.07458102	0.0898284	0.201226	0.214622	0.220235	0.14682	0.127268	0.001542253	0.257339	0.246111	0.244062	0.252487	32.74873	0.03771517
2600	-13960.46	-13860.13	-100.3357	0.07458102	0.147033	0.129891	0.207984	0.253365	0.131103	0.130624	0.003796754	0.250643	0.252783	0.235869	0.260705	36.12284	0.03095023
2650	-13958.3	-13857.66	-100.6399	0.07458102	0.197741	0.157419	0.168206	0.12083	0.127452	0.228352	0.004799816	0.246079	0.239763	0.253801	0.260356	35.18293	0.04082385
2700	-13963.54	-13859.11	-104.4298	0.07458102	0.180196	0.181919	0.27272	0.141954	0.12737	0.0958412	0.001883844	0.24547	0.243802	0.252078	0.25865	39.41277	0.03366692
2750	-13950.17	-13853.48	-96.69223	0.07458102	0.19972	0.104676	0.188796	0.151149	0.146481	0.209178	0.0003907012	0.243094	0.244597	0.258614	0.253695	30.91147	0.02782484
2800	-13952.08	-13854.41	-97.67261	0.07458102	0.12819	0.187519	0.21663	0.14753	0.137778	0.182352	0.009512507	0.24081	0.243049	0.256978	0.259162	32.61551	0.04762332
